district,price,room,area,floor,age,status,balcony,area_kitchen,area_living
5.0,16000,3,86.0,6,3,2.0,0.0,15.0,53.0
3.0,17550,1,46.0,5,3,2.0,0.0,16.0,26.0
3.0,25350,2,65.0,10,3,3.0,1.0,15.0,40.0
3.0,33150,3,99.0,8,3,3.0,0.0,16.0,55.0
3.0,19500,1,50.0,9,3,3.0,0.0,16.0,27.0
1.0,39000,4,140.0,3,3,2.0,0.0,16.0,70.0
4.0,11500,1,46.0,1,3,2.0,0.0,16.0,26.0
3.0,23400,2,73.0,6,3,3.0,0.0,16.0,41.0
5.0,14820,1,45.0,4,3,2.0,0.0,16.0,26.0
5.0,22000,2,53.0,10,3,2.0,0.0,15.0,38.0
5.0,16000,2,72.0,2,3,2.0,0.0,16.0,40.0
1.0,12000,1,45.0,7,3,2.0,0.0,16.0,26.0
5.0,19500,1,45.0,6,3,3.0,0.0,16.0,26.0
5.0,18330,2,69.0,8,3,2.0,0.0,15.0,40.0
5.0,21450,1,50.0,6,3,3.0,0.0,16.0,27.0
